x,y
1,45
2,60
3,77
4,96
5,117
6,140
7,165
8,192
9,221
10,252
11,285
12,320
13,357
14,396
15,437
16,480
17,525
18,572
19,621
20,672
21,725
22,780
23,837
24,896
25,957
26,1020
27,1085
28,1152
29,1221
30,1292
31,1365
32,1440
33,1517
34,1596
35,1677
36,1760
37,1845
38,1932
39,2021
40,2112
41,2205
42,2300
43,2397
44,2496
45,2597
46,2700
47,2805
48,2912
49,3021
50,3132
51,3245
52,3360
53,3477
54,3596
55,3717
56,3840
57,3965
58,4092
59,4221
60,4352
61,4485
62,4620
63,4757
64,4896
65,5037
66,5180
67,5325
68,5472
69,5621
70,5772
71,5925
72,6080
73,6237
74,6396
75,6557
76,6720
77,6885
78,7052
79,7221
80,7392
81,7565
82,7740
83,7917
84,8096
85,8277
86,8460
87,8645
88,8832
89,9021
90,9212
91,9405
92,9600
93,9797
94,9996
95,10197
96,10400
97,10605
98,10812
99,11021
100,11232
